	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC725646	763.906437946443	4.38755896104477	0.68828266063374	26.4719732897542	2.67389515697025e-07	1.25416150067145e-06
LOC725649	269.727169665457	-2.22331934673707	0.500791242848362	20.3428493791081	6.47345453110839e-06	2.45172789425312e-05
LOC725660	40.5585721705093	3.51609764563998	0.788539629133082	15.3204319599679	9.07298673722451e-05	0.00028205919505242
LOC725671	243.814221965973	3.12112370190597	0.717682415658103	14.2430515408756	0.000160652847788636	0.000476773600317437
LOC725686	2306.65766098298	-3.1626285537389	0.239003700906456	174.758477078933	6.7600402032852e-40	5.68706360931695e-38
LOC725688	3354.89936829712	2.78227539878264	0.407661721982355	36.069919364308	1.90362854029861e-09	1.19538601085347e-08
LOC725690	179.294712185106	2.97417763553976	0.423207147267847	38.7601155137653	4.79220334535794e-10	3.25573402535143e-09
LOC725699	1413.63386664482	2.3257978704788	0.498711491507353	17.7163991352636	2.56406573508777e-05	8.70989339908681e-05
LOC725701	1917.32967322037	6.0870462669496	0.596906583744379	56.9256960455895	4.52593246593733e-14	5.01744027205127e-13
LOC725705	1387.14589050159	-2.73482479007745	0.276850621909149	99.3273804458057	2.14028469343627e-23	5.48338164871296e-22
LOC725708	6031.06098929962	-2.19464960599408	0.259174862412849	74.1601230928316	7.20307543476731e-18	1.16566003829754e-16
LOC725710	3760.92378342828	5.70591164942297	0.500446480199071	73.3918964236368	1.06301628051162e-17	1.70629216771703e-16
LOC725720	5136.42331221297	2.03500093940049	0.414722502772354	20.208124676631	6.94573109174604e-06	2.61307523660931e-05
LOC725724	1707.40132746474	2.17123433220857	0.388319788195631	25.9076435762168	3.58148186454396e-07	1.64601076626193e-06
LOC725746	531.312739460413	-2.79129462166591	0.33825323293024	69.1006852697319	9.35628441911829e-17	1.34853275552346e-15
LOC725756	533.130472892171	3.28799000072981	0.408231037226857	48.1908490375573	3.86688756045744e-12	3.37768926672652e-11
LOC725761	5480.40057228355	-3.35208226232562	0.310910175262593	114.546694197723	9.89095323056286e-27	3.2410631828988e-25
LOC725766	8244.23456869201	-9.79808560043518	1.48147841379211	26.7285206956268	2.34139950849723e-07	1.10928063944855e-06
LOC725775	5334.00587338945	3.31928139318449	0.60433887807425	21.9568131215017	2.7885519281491e-06	1.11373073978804e-05
LOC725782	173776.034653541	4.8691117701002	0.338109612851035	126.80261664813	2.05200150583925e-29	8.2232573859004e-28
LOC725783	1746.61569827875	-2.83118424327454	0.312991645924376	82.9460085421955	8.43254556576698e-20	1.60042968801805e-18
LOC725791	1026.80210462235	-3.68369323496949	0.548469977787807	43.7624493984104	3.70750624136562e-11	2.87065528949601e-10
LOC725792	8568.49266303054	6.31362136043126	0.642274978333759	50.9513692340245	9.46829419997707e-13	8.93499648370151e-12
