	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC410926	798.509812574	-0.795192329101806	0.158561350811585	24.4788408412512	7.51303991062028e-07	3.09826001723373e-06
LOC410933	13315.0622943028	-0.741879865110121	0.0975011640163516	56.2510536453977	6.37836438167331e-14	7.43586382845375e-13
LOC410936	3973.99491076244	-0.75775340939706	0.178886485233615	17.414689892005	3.00494629234243e-05	9.50363472589085e-05
LOC410940	3140.33540522557	-0.568506966479128	0.127988289196754	19.3408575612971	1.09341493629448e-05	3.71568688615261e-05
LOC410943	1523.88043759597	-0.856269357232841	0.345157327290919	5.93863129474451	0.0148125173112929	0.0276583065748086
LOC410944	749.232987731359	-0.938066037879405	0.294293973494808	9.77865195973911	0.00176549705360569	0.00403601891047203
LOC410947	1949.60678218135	-2.05606166218664	0.190133140371893	103.935546928556	2.09005780009423e-24	7.40660238149601e-23
LOC410950	5678.16445454695	-0.330717110898649	0.0644993529709577	26.0442831394274	3.3367540888318e-07	1.4635240871076e-06
LOC410951	6230.22398208928	-0.988816607013988	0.221475424009732	19.092615266672	1.24525792815166e-05	4.18990966069147e-05
LOC410952	538.316443316661	1.18680645492496	0.203150308556355	34.2246155320428	4.91038920484488e-09	2.83374452717841e-08
LOC410953	16315.3928891652	-0.861006115218932	0.239534408944664	12.4654837466157	0.000414541149659181	0.00107633942241779
LOC410956	3759.25565019806	-0.737297575782922	0.120767919279833	36.261057217282	1.72578078734977e-09	1.06204714624584e-08
LOC410957	1759.21362186733	-2.6457555591082	0.131291818836888	349.829087249009	4.61698330196904e-78	5.35016025032173e-75
LOC410959	906.850463566088	0.269127830904979	0.0947929142294458	8.09477296147254	0.00443930990494467	0.00933794212715535
LOC410961	2711.02904264371	-1.15633324318929	0.182698993435019	38.0257623384535	6.98166462094129e-10	4.59157375865311e-09
LOC410964	1659.44720962167	0.474189134536439	0.110891841419799	18.4209022540794	1.7710456658907e-05	5.80070016290033e-05
LOC410967	824.835703750958	-1.01804346947113	0.230975442108627	18.638412224243	1.58004689574133e-05	5.20898532798024e-05
LOC410972	2407.18070104561	-0.966445142829633	0.121402901715613	60.9880020500876	5.74237040871588e-15	7.57026032948801e-14
LOC410973	1076.01538494631	0.660221590833587	0.113021805736088	34.4003315010264	4.48646862751917e-09	2.60336497023997e-08
LOC410975	542.336205028863	0.825327640456146	0.159136001071746	27.1153444619474	1.91670515176595e-07	8.74440129868656e-07
LOC410980	6689.7306187747	-0.669476868879506	0.233241261813777	8.03061524836426	0.00459932139502329	0.00963405290164353
LOC410987	6639.70210662773	-0.723485409874712	0.130176407764845	30.0410143423871	4.23004094638786e-08	2.13213199159385e-07
LOC410989	3914.24380736392	-0.989579927872371	0.116369091376165	69.395433522089	8.05750019589385e-17	1.29321762146839e-15
LOC410993	4130.37767799713	2.23775273049973	0.310391053086582	50.0484690875209	1.49994770655164e-12	1.44363737736881e-11
LOC410996	2087.07312604996	-1.66928365449651	0.171789583102725	86.5033841448409	1.39498393094457e-20	3.28558410402149e-19
LOC410997	2108.03037673507	-2.55828828832788	0.172831852385366	187.139162395241	1.33910442218978e-42	2.32867871056665e-40
LOC410998	5238.46404872392	-0.958241528498701	0.16622876674908	31.8995160035805	1.62357604752649e-08	8.68636235483631e-08
LOC410999	4432.90491265777	-0.444592265738512	0.16157202096631	7.4585783430411	0.00631348483116742	0.012779154973549
LOC411003	1690.45288729444	0.307662866960941	0.0652901681774208	22.296705510155	2.33607046756009e-06	8.88719126004147e-06
LOC411009	9112.62642898399	-1.70826942153554	0.333095624371106	23.9325394939811	9.97710628101844e-07	4.02698389357164e-06
LOC411011	3171.64317565273	-0.439591919535869	0.119887590035968	13.2555174157903	0.000271778758505107	0.000728346959657073
LOC411012	3917.66930304629	-1.19708466079503	0.128892278560732	81.6619813727584	1.61469951165406e-19	3.38969890236364e-18
LOC411013	3159.50859367764	-0.651434360816964	0.107347639527015	35.9784809128796	1.99508746651145e-09	1.21807553013355e-08
LOC411014	13210.2323378801	0.662437873129462	0.200236424954472	11.0348328712447	0.000894157367755873	0.00217313246173554
LOC411018	1692.70014357881	-1.53077474705307	0.272816492388953	29.0885569821854	6.91441820336658e-08	3.36656630842907e-07
LOC411021	204.805915172451	-1.72170575399216	0.388686556775165	18.0594543945303	2.14112748406377e-05	6.92281955505885e-05
LOC411026	1101.62592515851	0.386145921754292	0.118803764312281	10.6390213856918	0.00110726249923224	0.00263957166037917
LOC411030	863.302317255418	1.21010667881388	0.18458987113184	43.1299821872492	5.12212815262824e-11	3.92042411047926e-10
LOC411036	1978.34035338165	-0.870004743183296	0.141221535119747	36.6986498564457	1.3787489510195e-09	8.64085605430719e-09
LOC411037	398.479701894394	1.62016633154341	0.351717799925636	21.0291310343861	4.52353022698293e-06	1.63706022080819e-05
LOC411038	1690.94423879553	0.959903168054959	0.264764574606325	13.2234583976647	0.000276467020249239	0.00074005540093513
LOC411043	2611.63516810105	-0.745815402031142	0.123787754875228	35.3123068667407	2.8085173305556e-09	1.67326986254387e-08
LOC411047	8676.9019166102	-0.751933276152793	0.235871447440822	9.86376604258624	0.00168565695932636	0.00386264442251807
LOC411052	10070.3172586582	-1.19931437778415	0.21665506578875	28.9529221709803	7.41588561977084e-08	3.59261214723681e-07
LOC411053	1329.11928427987	-1.4098111887434	0.305941320197184	19.8074364999443	8.56488025035375e-06	2.9591482510763e-05
LOC411058	2407.6597449018	0.498340534739038	0.214850022301142	5.42336365112246	0.0198690465343658	0.0359810144147884
LOC411059	2225.73399277125	-1.12967232879674	0.248094278379912	19.7021620621573	9.04989184788529e-06	3.11187379030548e-05
LOC411070	5918.83991449671	-0.609824815448819	0.0795624536092012	57.5187878528812	3.34766266838079e-14	4.04090781262465e-13
LOC411071	14906.4830535029	0.808916596820438	0.248200882643082	10.7046277088215	0.00106867889417758	0.00255600640365941
LOC411073	426.982335086264	-0.871640798688522	0.308758807740216	7.71532598996559	0.00547539716829822	0.0112818105238691
LOC411077	773.517400796331	0.648448400903083	0.0966810479443225	45.2601945333831	1.72520161363015e-11	1.41986053258141e-10
LOC411078	1904.3074553824	-1.19560385239997	0.186950888031089	38.7220703100996	4.88652458650892e-10	3.30560694153330e-09
LOC411080	1395.12219858799	-0.720852580132528	0.125722188936464	32.0305595342002	1.51766261240545e-08	8.1684506978887e-08
LOC411081	2286.24316339839	-0.645884263147516	0.126087011866705	25.6303562991232	4.13483239006343e-07	1.78253116577586e-06
LOC411085	1058.86280858936	0.499700767456777	0.149641408849093	11.2285711100944	0.000805476352295953	0.00197813692485659
LOC411086	602.769110959417	-0.930854370641689	0.307635944503026	8.79484491953833	0.00302082922477569	0.00659110695852019
LOC411088	2124.4028602451	-0.566407130344526	0.0983995252185393	32.5298728102455	1.17374420155257e-08	6.41573009792038e-08
LOC411090	1153.79556837223	1.00168548226132	0.187299023359833	28.7614027915276	8.18664848749101e-08	3.94129134495413e-07
LOC411099	7524.93245684312	0.414759456528231	0.115600308020215	12.9640900390019	0.000317522750229372	0.000842365757705577
LOC411103	3333.62051972616	0.493252599793479	0.116278474793182	18.129350242019	2.06395463639593e-05	6.69009967176391e-05
LOC411104	7138.51616406509	-1.04483004553311	0.218965710170441	21.7303190176223	3.13792533507052e-06	1.1669537478433e-05
LOC411116	5282.72525588477	-1.39548401779409	0.248411967336527	29.418681697316	5.83127991352525e-08	2.8766654592563e-07
