ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
21563	59,217,320,283	0,0,2,0	352,423,623,426,298	4,17,16,9,0	353	149
21564	11,10,15,13	0,0,2,0	51,53,67,54,48	4,17,16,9,0	215	149
21565	409,1018,1815,1001	0,0,3,0	571,971,992,1281,919	2,6,0,10,0	299	149
21566	224,561,713,560	0,4,33,0	213,524,321,544,457	6,0,2,10,0	371	149
21567	599,1251,1946,1630	0,0,2,0	222,298,209,210,226	0,0,0,0,0	409	149
21568	5706,12033,23264,12383	0,0,2,0	13111,12322,10798,11994,9434	0,0,0,0,0	540	149
21569	69316,172139,124741,167841	0,0,0,0	6328,7057,7113,5567,7713	6,1,2,4,13	334	149
21570	35123,64129,61625,67110	1,4,4,16	2737,3617,2536,2705,3827	2,0,0,0,12	365	149
21571	195,181,208,311	0,12,23,0	70,122,63,129,75	5,5,2,18,8	291	149
21572	171,499,421,439	5,27,97,12	577,923,832,1130,831	8,4,15,8,10	231	149
21573	920,1103,1432,2036	0,0,1,0	212,423,193,308,222	0,0,0,0,0	326	149
21574	4634,6540,9151,7962	0,0,0,4	1510,2393,1559,2437,1636	0,0,6,0,0	281	149
21575	617,1089,1569,909	0,0,2,0	1175,1628,1407,1640,1503	0,0,0,0,0	401	149
21576	256,361,112,238	1,5,0,0	378,440,654,876,579	2,10,3,1,1	529	149
21577	254,349,110,227	0,0,0,0	369,428,635,855,574	0,6,0,0,0	466	149
21578	82,140,65,155	0,0,0,0	177,294,314,351,379	0,0,0,10,0	466	149
21579	255,351,110,233	1,5,0,0	369,428,637,853,574	2,10,3,1,1	466	149
21580	286,387,113,239	1,5,0,0	415,451,698,964,679	2,10,3,1,1	389	149
21581	248,352,110,226	0,0,0,0	365,438,633,840,576	0,6,0,0,0	389	149
21582	76,143,65,154	0,0,0,0	173,304,312,336,381	0,0,0,10,0	389	149
21583	14,19,11,17	0,0,0,0	32,67,97,173,151	0,0,0,10,0	282	149
21584	274,355,120,225	3,0,0,2	427,514,633,932,722	1,4,8,3,4	282	149
21585	180,216,47,80	0,0,0,0	199,153,396,625,306	0,1,6,0,2	282	149
21586	172,208,385,259	0,0,0,0	348,630,514,666,748	0,1,6,0,2	355	149
21587	267,356,461,409	4,9,3,7	589,1039,807,1093,1267	13,49,64,122,107	355	149
21588	137,181,234,246	0,0,0,0	340,577,427,634,727	0,0,0,1,1	355	149
21589	137,181,242,246	4,0,0,0	340,577,427,634,725	0,0,0,0,0	355	149
21590	8,10,4,10	0,0,0,0	21,61,69,116,127	0,0,0,1,1	260	149
21591	192,278,318,244	0,0,0,0	402,815,680,882,935	0,0,0,4,2	260	149
21592	120,155,201,150	0,0,0,0	223,388,313,406,477	0,0,0,0,2	260	149
21593	116,155,201,150	0,0,0,0	223,386,311,397,450	0,0,0,0,2	260	149
21594	239,347,366,329	0,0,0,0	455,915,732,1122,1110	0,0,0,0,2	377	149
21595	86,130,121,113	0,0,0,0	195,451,349,433,498	0,0,0,0,2	377	149
21596	317,471,488,427	4,0,0,0	635,1354,1120,1625,1623	0,3,2,9,32	377	149
21597	164,254,243,211	0,0,0,0	375,890,737,936,1011	0,0,0,0,1	377	149
21598	8,37,27,34	4,0,0,0	41,63,56,59,123	0,0,0,0,0	301	149
21599	185,307,339,351	0,0,0,0	332,658,584,839,827	0,0,0,0,2	301	149
21600	8,37,27,34	0,0,8,0	41,63,56,58,124	0,0,0,0,0	301	149
21601	189,307,339,351	0,0,0,0	332,661,586,848,857	0,0,0,0,1	301	149
21602	338,528,588,567	0,4,4,0	593,1144,968,1542,1443	1,22,1,14,6	301	149
21603	150,267,232,360	0,0,8,0	296,727,642,944,768	0,0,0,0,0	291	149
21604	326,536,534,684	0,0,0,7	588,1320,1169,1726,1488	1,3,0,7,18	291	149
21605	189,295,334,370	0,0,2,0	321,648,575,889,813	0,0,0,0,0	291	149
21606	70,118,152,116	0,0,2,0	156,303,279,368,325	0,0,0,0,0	280	149
21607	208,363,352,420	2,4,0,2	423,969,866,1205,981	4,4,4,11,11	280	149
21608	55,111,156,120	3,3,12,2	159,310,280,350,296	2,0,1,5,4	309	149
21609	55,111,154,120	0,0,0,0	157,305,280,338,298	0,0,0,4,2	309	149
21610	595,1081,1680,1032	0,0,2,0	1178,2037,1848,2400,2391	5,5,0,12,0	500	149
