ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
247	84,329,96,51,48	0,7,0,2,2	867,133,246	29,6,12	500	149
248	10,173,24,83,30	1,0,0,8,0	1154,203,354	99,2,9	233	149
249	15,83,53,74,18	0,12,12,2,4	31,25,57	92,87,110	261	149
250	10,10,4,8,0	0,0,4,4,0	95,38,248	0,0,0	1239	149
251	0,4,11,0,1	5,10,0,0,0	28,3,23	17,0,5	228	149
252	2,2,0,0,0	0,0,0,0,2	36,11,49	0,2,9	228	149
253	2,5,0,0,0	0,0,0,0,0	24,9,33	0,1,5	228	149
254	3,2,1,1,0	0,0,0,0,0	34,4,44	0,0,2	228	149
256	0,50,79,33,63	12,124,87,134,102	20,17,20	8,0,16	324	149
257	154,931,1535,1068,1667	24,120,363,202,196	620,362,512	1058,603,804	206	149
258	25,46,57,50,34	0,0,0,0,0	0,2,4	0,4,0	317	149
259	25,54,63,50,37	0,2,0,6,0	0,2,8	0,0,0	450	149
260	25,68,74,52,37	4,4,4,0,3	0,2,8	0,0,0	577	149
261	13,82,46,77,19	34,166,65,119,14	0,21,2	0,5,0	207	149
262	151,970,1281,1371,2181	14,225,325,233,35	72,132,53	0,23,2	230	149
263	98,766,1030,1254,2144	15,218,312,353,0	59,90,79	0,2,3	593	149
264	400,3269,6033,2588,2484	0,21,23,4,9	10706,8932,11370	280,191,217	815	149
265	122,1191,2114,846,867	1,20,67,23,20	3949,3318,3542	368,361,402	293	149
266	184,1748,3089,1311,1283	6,10,49,4,15	5690,4650,5537	71,64,67	464	149
267	143,1038,1776,1150,978	1,39,63,34,41	3398,3452,3962	313,307,338	305	149
268	105,681,1172,801,750	10,210,327,122,184	2869,2666,2913	897,638,775	236	149
269	0,7,69,12,30	2,12,35,8,0	19,0,4	47,0,10	753	149
270	0,7,46,6,13	0,0,2,0,23	14,0,4	19,3,0	734	149
271	55,623,119,235,90	26,126,21,26,21	23,10,12	0,0,0	236	149
272	77,462,571,320,409	4,22,41,29,40	1159,580,944	18,12,10	221	149
274	0,3,17,4,0	2,0,0,0,0	8,4,12	16,4,0	193	149
275	4,3,17,4,10	0,4,9,0,8	10,14,16	87,132,29	213	149
276	83,825,958,505,444	6,43,79,10,45	3941,2943,3846	151,122,133	251	149
278	15,93,67,37,69	10,101,46,21,27	120,121,196	313,172,356	248	149
279	7,188,379,184,275	2,10,72,58,42	265,136,157	21,18,2	839	149
280	7,235,400,224,292	0,0,8,6,4	347,176,170	51,3,34	1206	149
281	27,450,548,422,396	4,37,60,51,33	731,289,292	88,49,98	1997	149
282	60,763,485,555,306	2,61,141,163,118	152,109,168	8,2,14	406	149
283	19,304,313,309,306	0,16,12,28,20	288,197,248	16,14,4	535	149
284	3,125,117,81,122	11,29,17,16,29	103,59,81	12,28,20	435	149
285	0,0,19,6,0	0,7,515,6,2	236,182,180	199,392,90	221	149
286	107,904,365,698,311	20,117,29,56,33	1271,901,1594	184,107,263	218	149
287	156,619,355,517,286	0,29,4,8,10	250,354,514	2,14,6	213	149
288	46,311,46,35,48	0,0,0,0,0	73,15,76	6,0,4	208	149
289	67,678,998,609,967	0,51,49,54,32	22,42,58	0,1,0	239	149
290	1,20,11,5,16	0,6,9,3,11	33,16,24	4,0,9	249	149
291	225,417,274,339,434	23,102,164,106,168	2454,1300,1415	1167,785,709	957	149
292	169,1245,751,1336,697	16,111,127,88,50	603,576,830	1,2,8	203	149
293	10,14,31,16,6	0,0,0,0,0	10,4,14	0,2,0	215	149
294	2,152,374,356,61	0,16,33,13,15	22,50,11	2,0,0	2591	149
295	0,117,270,258,37	0,3,4,0,0	20,36,11	0,0,0	1517	149
296	2,0,1,0,2	0,0,0,8,0	323,199,353	108,137,104	230	149
297	97,802,405,346,233	12,28,117,12,36	775,463,737	85,51,60	684	149
298	8,8,11,4,23	15,8,4,0,36	59,56,136	117,128,98	208	149
