ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
16342	0,4,2,2,0	0,0,6,6,3	8,15,18	3,13,6	212	149
16343	46,174,210,227,161	0,0,0,0,0	81,57,160	0,1,0	471	149
16344	53,173,207,227,161	0,4,8,6,0	81,65,169	0,1,6	471	149
16345	46,182,210,236,161	0,8,1,0,0	81,57,163	0,1,0	471	149
16346	21,311,1086,394,353	0,2,4,0,0	2,7,12	0,0,0	418	149
16348	15,217,693,252,261	7,1,1,0,0	1,7,12	0,8,9	418	149
16349	13,209,682,250,247	0,10,4,9,0	1,7,12	0,0,3	418	149
16350	2,29,66,62,18	0,2,4,0,0	0,0,1	0,0,0	195	149
16351	2,6,9,2,2	7,1,1,0,0	0,0,1	0,8,9	195	149
16352	0,4,8,0,0	0,10,4,9,0	0,0,1	0,0,3	195	149
16353	37,303,514,457,321	0,3,7,10,28	85,59,71	5,3,8	211	149
16354	32,188,314,273,160	0,0,0,0,2	46,31,43	0,0,0	211	149
16355	6,44,124,113,48	5,120,214,194,164	104,178,171	47,28,28	600	149
16356	6,53,141,119,45	0,0,0,0,0	140,213,227	7,11,17	600	149
16357	41,291,499,384,535	0,0,0,2,0	353,207,189	0,0,0	659	149
16358	81,820,1300,1117,1133	0,2,0,3,8	599,402,395	0,8,2	659	149
16359	76,700,1086,923,969	0,0,0,0,0	559,385,384	0,0,1	659	149
16360	41,288,492,374,507	0,0,0,0,0	355,215,198	0,2,0	659	149
16361	17,152,297,226,246	0,0,0,0,0	82,115,118	0,2,0	221	149
16362	51,560,881,779,704	0,0,2,6,4	295,273,315	9,0,14	221	149
16363	34,256,635,413,341	0,0,0,0,2	189,180,211	0,0,0	387	149
16364	131,1001,1761,1364,1382	0,0,2,0,0	532,551,604	0,0,1	387	149
16365	218,1603,2734,1918,1917	0,0,0,0,0	1391,1542,1772	0,0,1	288	149
16366	3,34,30,39,41	6,45,40,64,53	30,27,55	241,223,309	227	149
16367	1,3,6,1,8	0,0,0,0,0	155,129,132	0,1,0	191	149
16368	0,0,4,0,0	2,1,0,0,0	60,40,59	138,137,123	191	149
16369	1,13,5,3,8	0,0,0,0,0	65,13,88	7,48,69	431	149
16370	1,11,5,3,8	0,0,0,0,0	63,13,72	4,4,2	431	149
16371	1,11,5,5,8	2,1,0,0,0	73,31,99	138,137,123	431	149
16372	2,19,16,8,16	0,0,0,0,0	174,133,186	6,6,9	431	149
16374	0,0,6,8,4	2,1,0,0,0	35,83,86	138,137,123	223	149
16375	0,2,0,0,0	0,0,0,0,0	26,25,72	0,0,2	223	149
16376	0,2,6,8,4	0,0,0,2,0	33,37,55	10,18,29	223	149
16377	87,1053,626,1240,755	0,1,1,1,0	926,176,113	0,0,0	373	149
16378	162,1563,973,2050,1168	2,0,0,0,4	1644,229,169	5,6,0	373	149
16379	107,960,732,938,685	0,11,0,2,0	830,189,138	12,0,8	246	149
16380	54,540,548,631,515	0,12,0,0,0	412,149,92	2,0,0	246	149
16381	17,86,35,15,26	0,1,0,4,0	332,34,97	0,0,0	343	149
16382	21,128,33,35,68	0,0,0,0,0	461,133,273	2,0,0	333	149
16383	23,69,86,85,112	4,12,0,8,10	7,6,16	0,4,15	210	149
16384	4,26,33,34,45	0,0,4,1,2	7,0,10	8,4,8	210	149
16385	12,55,80,80,78	4,12,0,8,10	7,0,11	0,4,15	237	149
16386	9,80,58,54,72	0,0,4,1,2	15,24,58	8,4,8	221	149
16387	24,111,113,96,132	0,0,2,0,0	15,26,50	0,0,0	221	149
16388	340,1168,1740,1098,1841	0,0,0,0,0	397,387,296	0,0,2	193	149
16389	223,537,1277,426,1544	145,499,752,455,683	440,284,257	192,228,108	464	149
16390	0,4,22,0,6	0,4,4,8,6	121,65,105	22,78,82	255	149
16391	58,126,119,99,94	0,0,0,0,0	7,56,34	0,0,4	335	149
16392	39,704,431,496,159	0,0,2,2,2	61,162,178	0,2,0	264	149
16393	2,92,44,70,18	0,0,2,0,6	20,19,30	0,1,4	264	149
16394	258,2230,1722,2065,638	0,0,2,0,6	438,638,556	0,1,4	432	149
16395	302,2889,2146,2516,797	0,0,0,0,0	482,788,716	2,0,0	432	149
16396	5,653,71,199,0	7,214,121,320,18	54,0,45	49,4,20	252	149
16397	0,350,56,160,0	0,10,0,16,0	20,7,16	33,29,64	252	149
16398	5,250,25,37,0	7,214,121,320,18	34,0,22	49,4,20	231	149
16399	0,19,12,4,0	0,10,0,16,0	0,7,1	33,29,64	231	149
16400	302,3357,2373,3832,803	0,10,0,16,0	540,559,490	33,29,64	538	149
16401	300,3455,2268,3551,785	0,8,1,0,0	525,555,499	0,7,0	538	149
16402	36,807,632,817,226	0,4,11,4,7	320,334,384	0,0,0	261	149
16403	272,1998,1816,1576,1739	0,0,3,0,10	2894,3364,3812	0,0,0	304	149
16404	0,21,105,60,48	0,8,16,14,0	71,75,59	9,18,0	237	149
16405	0,18,52,18,19	28,491,538,455,528	68,63,39	471,533,573	237	149
16406	115,1331,1517,1209,1516	0,2,0,2,0	1197,1231,1548	0,0,0	377	149
16407	63,874,1031,901,1026	0,6,0,0,0	904,944,1074	0,0,0	377	149
16408	78,594,515,407,638	0,6,0,0,0	396,349,557	0,0,0	292	149
16409	130,1068,1042,754,1183	0,22,41,41,55	741,717,1104	52,81,73	292	149
16410	56,506,584,379,593	0,0,0,0,0	359,394,574	0,0,1	292	149
16411	37,427,367,326,377	0,0,0,0,0	296,256,423	0,0,1	224	149
16412	111,970,784,661,915	0,0,0,0,0	626,502,878	0,2,0	224	149
16413	442,2226,331,1145,242	4,0,0,0,0	2524,674,2981	4,0,1	420	149
16414	119,859,144,461,73	0,0,1,0,0	1287,230,1047	2,0,0	245	149
16415	1746,9462,3826,13402,4880	0,2,0,0,2	1503,1180,1544	0,0,0	253	149
16416	5168,27441,10844,26651,13811	17,93,19,142,43	3594,2958,3755	24,14,15	279	149
16417	2816,14444,4109,11736,5027	35,35,24,46,52	2518,1408,2049	0,0,0	279	149
16418	2211,12224,4985,16693,7398	35,35,24,46,52	620,310,497	0,0,0	316	149
16419	4565,25205,11747,31551,16210	2,20,14,36,36	1681,1878,2222	0,0,0	316	149
16420	3,45,111,28,49	0,0,0,0,0	158,84,178	1,0,0	202	149
16421	0,4,16,4,11	3,56,120,37,30	26,26,26	147,71,113	255	149
16422	0,0,16,4,2	0,0,0,0,6	9,19,13	2,0,0	255	149
16423	51,735,1023,1196,260	0,0,0,0,6	609,395,694	2,0,0	406	149
16424	26,342,494,544,131	0,0,0,0,0	355,289,383	0,0,7	406	149
16425	26,342,494,545,131	0,0,2,0,0	351,290,391	0,2,0	406	149
16426	48,683,903,1159,239	0,0,0,0,0	481,331,594	2,0,0	406	149
16427	51,682,899,1154,227	0,0,0,0,6	464,336,571	2,0,0	403	149
16428	26,289,370,502,98	0,0,0,0,0	210,230,260	0,0,7	403	149
16429	26,289,370,503,98	0,0,2,0,0	206,231,268	0,2,0	403	149
16430	84,2245,2613,3730,792	0,0,0,0,0	1778,1044,2015	0,0,7	2004	149
16431	82,2235,2611,3710,792	0,0,2,0,0	1771,1042,2017	0,2,0	2004	149
16432	109,2638,3142,4382,915	0,0,0,0,0	2036,1150,2326	6,1,0	2004	149
16433	107,2628,3140,4362,915	0,0,0,1,0	2029,1148,2328	2,2,8	2004	149
