ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
142	172,2775,1192,1802,349	2,169,104,65,25	768,509,1042	77,116,134	268	149
143	0,5,8,4,4	0,42,3,8,10	4,4,28	4,22,42	298	149
144	2,5,10,31,1045	0,5,867,997,4	6,129,133	256,95,101	236	149
145	2,5,188,229,1732	12,85,0,0,0	81,201,232	0,0,0	298	149
146	169,733,285,382,1714	0,0,41,25,0	257,166,415	9,7,6	298	149
147	2,12,74,101,38	5,18,125,107,35	0,13,0	8,17,12	239	149
150	4,25,9,24,27	0,44,10,10,24	16,10,10	4,10,6	254	149
151	6,1,13,2,4	0,3,9,2,0	14,19,33	10,14,20	233	149
152	204,1781,746,987,285	28,486,436,427,228	1495,262,1284	80,60,150	298	149
153	0,6,10,24,2	0,16,13,16,14	2,0,2	0,1,1	219	149
154	0,6,10,24,2	0,0,0,6,2	2,0,2	2,0,0	222	149
155	12,120,64,102,48	2,23,25,25,26	250,105,237	197,156,178	236	149
156	0,23,5,13,14	0,6,2,10,4	22,4,18	50,21,49	292	149
157	0,2,10,0,0	0,0,0,0,0	10,30,44	36,28,58	239	149
158	4,53,52,148,70	0,11,12,22,3	1499,565,890	20,6,14	228	149
159	898,7959,16511,10050,84	0,0,0,132,6012	377,135,169	0,2,43	182	149
162	12,50,64,27,42	0,1,2,0,0	89,230,164	26,47,52	217	149
163	0,0,4,0,0	0,0,4,2,0	26,40,18	232,198,82	298	149
164	144,1017,666,549,396	0,6,4,0,0	361,529,773	4,0,0	298	149
165	31,225,70,62,32	0,15,1,0,5	134,42,137	119,27,56	252	149
166	27,214,66,60,32	4,1,0,2,0	121,36,131	23,2,5	248	149
168	2,3,16,4,19	5,9,2,10,30	21,21,56	242,714,425	298	149
169	55,214,66,77,53	14,68,27,28,12	55,39,100	38,9,28	240	149
170	34,380,270,277,197	0,14,27,20,2	201,290,406	15,12,5	242	149
171	113,345,189,344,212	0,2,2,3,0	397,193,290	2,12,23	298	149
172	10,111,76,92,35	16,5,0,3,2	869,482,813	62,45,60	227	149
173	0,8,20,8,4	0,4,0,0,9	32,22,15	2,8,3	223	149
174	10,80,20,33,9	10,33,21,50,7	5,0,1	6,5,16	223	149
175	56,165,31,76,16	0,0,0,22,0	6,0,17	0,0,0	298	149
176	46,99,16,52,19	0,3,3,3,4	7,0,16	0,0,2	205	149
177	25,304,192,255,173	9,99,97,133,32	27,62,31	8,14,22	298	149
179	8,143,100,103,109	2,51,60,73,21	206,167,233	89,30,41	298	149
180	0,0,6,0,0	0,0,10,0,0	0,2,0	0,0,0	222	149
