Grd	GO:0004890,GO:0005230,GO:0007165,GO:0007268,GO:0016020,GO:0030594,GO:0034220,GO:0042391,GO:0043005,GO:0045202,GO:0050877
GstD1	GO:0004364,GO:0006749
GstS1	GO:0004364,GO:0006749
GstS4	GO:0004364,GO:0006749
Gtpx1	GO:0004602,GO:0006979
Gycbeta1	GO:0004383,GO:0006182,GO:0008074,GO:0019934,GO:0020037,GO:0070482
Hb	GO:0000977,GO:0000981,GO:0005634,GO:0006357
Hbg2	GO:0005975
Hbg3	GO:0005975
Hiscl1	GO:0004888,GO:0005230,GO:0005254,GO:0007165,GO:0007268,GO:0016020,GO:0030594,GO:0042391,GO:0043005,GO:0045202,GO:0050877,GO:1902476
Ho	GO:0004392,GO:0006788
Hsc70-3	GO:0005524,GO:0005634,GO:0005737,GO:0005788,GO:0016020,GO:0016887,GO:0030433,GO:0030968,GO:0031072,GO:0034620,GO:0034663,GO:0042026,GO:0051082,GO:0051085,GO:0051787,GO:0140662
Hsc70-4	GO:0005524,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0016192,GO:0016887,GO:0031072,GO:0034620,GO:0042026,GO:0051082,GO:0051085,GO:0051787,GO:0140662
Hsc70-5	GO:0005524,GO:0005737,GO:0005739,GO:0016887,GO:0031072,GO:0034620,GO:0042026,GO:0051082,GO:0051085,GO:0051787,GO:0140662
Hsp90	GO:0005524,GO:0005829,GO:0005886,GO:0006457,GO:0016887,GO:0032991,GO:0034605,GO:0048471,GO:0050821,GO:0051082,GO:0097718,GO:0140662
IF-2mt	GO:0003924,GO:0005525
ILP-2	GO:0005179,GO:0005576
Imd	GO:0005515,GO:0007165
Ing3	GO:0006355,GO:0035064,GO:0035267
InR-2	GO:0005009,GO:0005524,GO:0005899,GO:0006468,GO:0007169,GO:0007275,GO:0016020,GO:0030424,GO:0033674,GO:0042593,GO:0043410,GO:0043560,GO:0051897
INTS8	GO:0005515,GO:0032039,GO:0034472
Ip3k	GO:0005634,GO:0005737,GO:0008440,GO:0032958,GO:0051765
JHBP-1	GO:0005615,GO:0032504
Jtb	GO:0000281,GO:0005737,GO:0005813,GO:0005819,GO:0016020,GO:0030496
KAT2A	GO:0000123,GO:0005515,GO:0005634,GO:0006338,GO:0010484,GO:0043966,GO:0045944
Kr	GO:0005634,GO:0010468
LCCH3	GO:0004890,GO:0005230,GO:0007165,GO:0007268,GO:0016020,GO:0030594,GO:0034220,GO:0042391,GO:0043005,GO:0045202,GO:0050877,GO:1902711
Lin-52	GO:0006355,GO:0070176
LOC100188940	GO:0005737,GO:0034199,GO:0034237
LOC100302106	GO:0005739
LOC100576085	GO:0003924,GO:0005525,GO:0005768,GO:0005886,GO:0006904,GO:0008021,GO:0009306,GO:0017157,GO:0030140,GO:0032869,GO:0048210,GO:0072659
LOC100576088	GO:0003735,GO:0005739,GO:0005840,GO:0006412
LOC100576093	GO:0005576,GO:0030888,GO:0034663
LOC100576097	GO:0004970,GO:0016020
LOC100576098	GO:0000422,GO:0019901,GO:1903599
LOC100576099	GO:0008146,GO:0016020,GO:0016051
LOC100576100	GO:0005515
LOC100576101	GO:0005813
LOC100576104	GO:0006338,GO:0031011
LOC100576110	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576116	GO:0000132,GO:0008093,GO:0008356,GO:0009786,GO:0045176,GO:0045179
LOC100576125	GO:0006999,GO:0030674,GO:0070762
LOC100576130	GO:0005179,GO:0005576
LOC100576131	GO:0000978,GO:0003700,GO:0005634,GO:0006357,GO:0008270
LOC100576135	GO:0015276,GO:0016020
LOC100576136	GO:0003677,GO:0046983
LOC100576140	GO:0005739,GO:0006915,GO:0006919
LOC100576146	GO:0005515,GO:0005643,GO:0006913
LOC100576147	GO:0000978,GO:0000981,GO:0006357,GO:0009653,GO:0030154
LOC100576151	GO:0000124,GO:0003713,GO:0043966,GO:0046982
LOC100576153	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576155	GO:0000795,GO:0003682,GO:0005515,GO:0007064,GO:0007130,GO:0008278,GO:1990414
LOC100576159	GO:0005654
LOC100576167	GO:0016020,GO:0030424,GO:0030425,GO:0043025,GO:0050909
LOC100576169	GO:0005515
LOC100576174	GO:0030431,GO:0032222,GO:1903818
LOC100576176	GO:0000124,GO:0003713,GO:0005669,GO:0006367,GO:0016251,GO:0046695,GO:0046982,GO:0051123
LOC100576179	GO:0005930,GO:0060271
LOC100576184	GO:0005576,GO:0008061
LOC100576186	GO:0005739,GO:0008270,GO:0008453,GO:0009436,GO:0019481,GO:0030170
LOC100576187	GO:0000151,GO:0005783,GO:0005829,GO:0006511,GO:0030968,GO:0043130,GO:0061630,GO:0070936
LOC100576194	GO:0000978,GO:0000981,GO:0006357
LOC100576212	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576215	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
LOC100576216	GO:0000978,GO:0003700,GO:0005634,GO:0006357,GO:0008270,GO:0016575,GO:0045892,GO:0051567
LOC100576217	GO:0004016,GO:0005515,GO:0005737,GO:0009190,GO:0035556
LOC100576220	GO:0000981,GO:0003677,GO:0006355
LOC100576221	GO:0000977,GO:0000981,GO:0005634,GO:0006357
LOC100576222	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
LOC100576224	GO:0004089,GO:0005737,GO:0008270
LOC100576246	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576247	GO:0005886,GO:0017147,GO:0035567,GO:0042813,GO:0060070
LOC100576248	GO:0005576,GO:0008061
LOC100576251	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576261	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576266	GO:0003677,GO:0005515
LOC100576270	GO:0005829,GO:0019239,GO:1901565
LOC100576272	GO:0000213,GO:0000214,GO:0000379,GO:0003676,GO:0006388
LOC100576274	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007417
LOC100576279	GO:0005515
LOC100576282	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576286	GO:0000175,GO:0003676,GO:0005838,GO:0043161
LOC100576289	GO:0003676,GO:0006388
LOC100576290	GO:0003341,GO:0005858,GO:0045503,GO:0045504
LOC100576291	GO:0005216,GO:0006811,GO:0016020,GO:0044877,GO:0055085
LOC100576293	GO:0000978,GO:0000981,GO:0006355
LOC100576296	GO:0005739,GO:0030145,GO:0070006
LOC100576300	GO:0000987,GO:0003700,GO:0005634,GO:0006355
LOC100576304	GO:0003676
LOC100576307	GO:0000978,GO:0000981,GO:0006357
LOC100576321	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576326	GO:0004252,GO:0006508
LOC100576346	GO:0005634,GO:0010468
LOC100576349	GO:0051726
LOC100576359	GO:0005634,GO:0016180
LOC100576366	GO:0000213,GO:0000214,GO:0000379,GO:0003676,GO:0006388
LOC100576369	GO:0000981,GO:0005634,GO:0006357,GO:0030154,GO:0043565
LOC100576373	GO:0005254,GO:0005783,GO:0016020
LOC100576374	GO:0000724,GO:0031297,GO:0043596
LOC100576378	GO:0003723,GO:0005655,GO:0008033
LOC100576383	GO:0000139,GO:0004571,GO:0004984,GO:0005509,GO:0005549,GO:0005783,GO:0005975,GO:0006491,GO:0007608
LOC100576384	GO:0004725,GO:0005515,GO:0006470
LOC100576392	GO:0000978,GO:0000981,GO:0006357,GO:0046983
LOC100576400	GO:0007283
LOC100576401	GO:0008080
LOC100576402	GO:0000077,GO:0000723,GO:0004674,GO:0005515,GO:0005634,GO:0006468
LOC100576404	GO:0004386,GO:0005829,GO:0035194,GO:0043186
LOC100576405	GO:0000976,GO:0005634,GO:0006357
LOC100576411	GO:0003677
LOC100576412	GO:0005515
LOC100576413	GO:0003723,GO:0005829,GO:0016020,GO:0017124
LOC100576414	GO:0005777,GO:0035336,GO:0080019
LOC100576421	GO:0005634,GO:0140110
LOC100576422	GO:0008320,GO:0030943,GO:0042721,GO:0045039
LOC100576432	GO:0005737,GO:0005912,GO:0007349,GO:0008013,GO:0016020,GO:0016342,GO:0016477,GO:0051015,GO:0098609
LOC100576433	GO:0005085,GO:0055037
LOC100576434	GO:0046983
LOC100576436	GO:0003676,GO:0005524,GO:0010526,GO:0042078
LOC100576438	GO:0005576,GO:0005615
LOC100576439	GO:0005737,GO:0035082
LOC100576446	GO:0015106,GO:0015108,GO:0015116,GO:0016020,GO:0019531,GO:0055085
LOC100576449	GO:0005119,GO:0005886,GO:0007224,GO:0008158,GO:0097108
LOC100576453	GO:0005789,GO:0006888,GO:0030134
LOC100576454	GO:0019230,GO:0042330,GO:0050954,GO:0071683
LOC100576457	GO:0005730,GO:0042273
LOC100576458	GO:0015204,GO:0016020,GO:0071918
LOC100576460	GO:0005509,GO:0019722,GO:0019900
LOC100576462	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576467	GO:0005829,GO:0035971,GO:0101006
LOC100576472	GO:0004842,GO:0005515
LOC100576476	GO:0043130,GO:0043161
LOC100576482	GO:0005634,GO:0005813,GO:0005814,GO:0015631,GO:0060271,GO:0061511
LOC100576484	GO:0005737,GO:0006508,GO:0006915,GO:0097200
LOC100576487	GO:0005175,GO:0097191
LOC100576497	GO:0004144,GO:0005886,GO:0019432,GO:0047196
LOC100576502	GO:0008270
LOC100576504	GO:0005576,GO:0008061
LOC100576506	GO:0000127,GO:0006383
LOC100576508	GO:0008146,GO:0016020
LOC100576512	GO:0005576,GO:0008200
LOC100576515	GO:0042543
LOC100576522	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576527	GO:0000981,GO:0006357,GO:0035497
LOC100576531	GO:0001522,GO:0003723,GO:0009982
LOC100576543	GO:0005634,GO:0006357,GO:0030374
LOC100576544	GO:0005739,GO:0008757,GO:0032981
LOC100576547	GO:0016614,GO:0050660
LOC100576554	GO:0097225,GO:0097730,GO:1902093
LOC100576555	GO:0140575
LOC100576559	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576569	GO:0031012
LOC100576571	GO:0000122,GO:0001046,GO:0003713,GO:0003714,GO:0005634,GO:0006366,GO:0016251,GO:0017054,GO:0045944,GO:0046982
LOC100576572	GO:0004674,GO:0005524,GO:0005829,GO:0030490,GO:0030688
LOC100576584	GO:0005096,GO:0005634,GO:0005829,GO:0006913,GO:0031267,GO:0048471,GO:0090630
LOC100576586	GO:0000978,GO:0003700,GO:0006357
LOC100576591	GO:0005874,GO:0005929,GO:0008017,GO:0060271
LOC100576600	GO:0000978,GO:0003700,GO:0005634,GO:0006357,GO:0008270
LOC100576606	GO:0005515,GO:0005634,GO:0006357
LOC100576610	GO:0001682,GO:0004526,GO:0005515,GO:0030678,GO:0097745
LOC100576612	GO:0005768,GO:0032511
LOC100576620	GO:0071011
LOC100576621	GO:0005634
LOC100576625	GO:0003723,GO:0007283
LOC100576637	GO:0004252,GO:0006508
LOC100576640	GO:0000724,GO:0003677,GO:0004842,GO:0005634,GO:0005886,GO:0008270,GO:0031436,GO:0035066,GO:0035067,GO:0045717,GO:0045944,GO:0070531
LOC100576645	GO:0005515
LOC100576646	GO:0004742,GO:0006086,GO:0045254
LOC100576647	GO:0004197,GO:0005634,GO:0005737,GO:0005813,GO:0006508,GO:0051307,GO:0072686
LOC100576649	GO:0005524,GO:0006298,GO:0016887,GO:0030983,GO:0032389,GO:0140664
LOC100576666	GO:0015252,GO:0016020,GO:1902600
LOC100576667	GO:0005737
LOC100576669	GO:0005515,GO:0034587,GO:0071546
LOC100576671	GO:0000122,GO:0035102,GO:0036353,GO:0046872,GO:1990841
LOC100576677	GO:0000400,GO:0000723,GO:0000724,GO:0003697,GO:0005524,GO:0005657,GO:0005813,GO:0007131,GO:0033063,GO:0042148,GO:0140664
LOC100576683	GO:0001653,GO:0004383,GO:0006182,GO:0007168,GO:0035556
LOC100576688	GO:0000786,GO:0003677,GO:0006334
LOC100576700	GO:0046983
LOC100576703	GO:0005525
LOC100576706	GO:0000413,GO:0003755,GO:0005515,GO:0043231
LOC100576708	GO:0000166,GO:0000712,GO:0000724,GO:0016604,GO:0031422
LOC100576709	GO:0005515,GO:0007052,GO:0007346,GO:0072686
LOC100576717	GO:0000077,GO:0005634,GO:0042393,GO:0045944
LOC100576733	GO:0005524,GO:0005634,GO:0032958,GO:0035299
LOC100576734	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576735	GO:0005778,GO:0016559
LOC100576742	GO:0005178,GO:0005925,GO:0007160,GO:0007229,GO:0008305,GO:0009986,GO:0016477,GO:0033627
LOC100576745	GO:0005515
LOC100576746	GO:0001750,GO:0004930,GO:0007186,GO:0016020
LOC100576754	GO:0000070,GO:0000796,GO:0005634
LOC100576768	GO:0000340,GO:0003729,GO:0005634,GO:0005829
LOC100576773	GO:0005811,GO:0016616
LOC100576775	GO:0003723,GO:0005515,GO:0005730,GO:0042274
LOC100576781	GO:0005737,GO:0016616
LOC100576783	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576784	GO:0000976
LOC100576789	GO:0005515
LOC100576794	GO:0071011
LOC100576795	GO:0044715
LOC100576797	GO:0004768,GO:0005506,GO:0005789,GO:0006636
LOC100576799	GO:0000309,GO:0004515,GO:0009435
LOC100576801	GO:0005739,GO:0005829,GO:0006099,GO:0006107,GO:0006108,GO:0006734,GO:0030060
LOC100576805	GO:0005634,GO:0006334,GO:0033186
LOC100576812	GO:0043565
LOC100576816	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576818	GO:0005789
LOC100576819	GO:0004197,GO:0006508,GO:0042981
LOC100576826	GO:0005886,GO:0007605
LOC100576828	GO:0005634,GO:0007140,GO:0007283,GO:0034587,GO:0043186,GO:0043565,GO:0045892,GO:0060964
LOC100576831	GO:0016020
LOC100576838	GO:0004252,GO:0006508
LOC100576839	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576847	GO:0005739,GO:0045277
LOC100576848	GO:0000460,GO:0000470,GO:0004519,GO:0030687,GO:0090730
LOC100576850	GO:0000479,GO:0004521,GO:0005730,GO:0042254
LOC100576851	GO:0005634,GO:0005737,GO:0008073,GO:0045732
LOC100576855	GO:0016020,GO:1902936
LOC100576859	GO:0005930,GO:0097546
LOC100576862	GO:0003676,GO:0031124,GO:0097222,GO:1990817
LOC100576864	GO:0005813,GO:0005814,GO:0007099,GO:0051299,GO:1902017,GO:1902410
LOC100576866	GO:0002926,GO:0005634,GO:0005737,GO:0016747,GO:0033588,GO:0051536
LOC100576871	GO:0005515,GO:0005814,GO:0007099,GO:0032465,GO:0051298
LOC100576872	GO:0000076,GO:0006281,GO:0030896,GO:0031573,GO:0071479
LOC100576878	GO:0003700,GO:0006355
LOC100576879	GO:0005096,GO:0005765,GO:0010508,GO:0034198,GO:0035556,GO:1904262,GO:1990130
LOC100576881	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576882	GO:0005886,GO:0015275,GO:0098703
LOC100576885	GO:0005814,GO:0036064,GO:0060271,GO:0090162,GO:0097539
LOC100576895	GO:0005777,GO:0035336,GO:0080019
LOC100576898	GO:0005634,GO:0005737,GO:0032526
LOC100576901	GO:0004692,GO:0005524,GO:0006468
LOC100576903	GO:0005515
LOC100576908	GO:0003677,GO:0003682,GO:0009887,GO:0035517,GO:0045944
LOC100576912	GO:0000981,GO:0006357,GO:0035497
LOC100576914	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576924	GO:0005515,GO:0007165
LOC100576934	GO:0019991
LOC100576940	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576944	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576945	GO:0005743,GO:0032981,GO:0033617
LOC100576947	GO:0000712,GO:0003697,GO:0008310
LOC100576948	GO:0003924,GO:0005246,GO:0005525,GO:0005886
LOC100576953	GO:0004017,GO:0004127,GO:0004550,GO:0005524,GO:0005737,GO:0009142
LOC100576956	GO:0002020,GO:0005615,GO:0008191,GO:0010033,GO:0010951,GO:0031012,GO:0051045
LOC100576957	GO:0003682,GO:0005634,GO:0006886,GO:0006888,GO:0007095,GO:0008270,GO:0030127
LOC100576958	GO:0005515,GO:0005739,GO:0035014,GO:0035973,GO:0043551
LOC100576963	GO:0005515,GO:0005634,GO:0006357
LOC100576965	GO:0005515
LOC100576967	GO:0003714,GO:0005634,GO:0008134,GO:0045892
LOC100576968	GO:0003779,GO:0005856,GO:0005886,GO:0005912,GO:0008360,GO:0014013,GO:0030175,GO:0045177,GO:0050839,GO:1902115,GO:1902966,GO:2000643
LOC100576972	GO:0016567,GO:0080008
LOC100576975	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0008270
LOC100576976	GO:0005515
LOC100576984	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576989	GO:0004843,GO:0016579
LOC100576990	GO:0000796,GO:0003682,GO:0007076
LOC100576992	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576993	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0048856
LOC100577000	GO:0005634,GO:0005737,GO:0017101,GO:0043517
LOC100577002	GO:0003993,GO:0052745
LOC100577004	GO:0004930,GO:0007186,GO:0016020
LOC100577019	GO:0030431,GO:0032222,GO:1903818
LOC100577024	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100577026	GO:0003824,GO:0030151,GO:0030170
LOC100577027	GO:0000012,GO:0003684,GO:0005634,GO:0006284
LOC100577028	GO:0005179,GO:0005576
LOC100577030	GO:0004983,GO:0005886,GO:0007186,GO:0042277
LOC100577033	GO:0000977,GO:0000981,GO:0005634,GO:0006357
LOC100577039	GO:0000786,GO:0003677,GO:0006334
LOC100577044	GO:0003676
LOC100577050	GO:0005737
LOC100577053	GO:0004375,GO:0005739,GO:0005960,GO:0016594,GO:0019464,GO:0030170
LOC100577060	GO:0005515
LOC100577064	GO:0005615,GO:0032504
LOC100577068	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100577069	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009952,GO:0046983,GO:0050767
LOC100577073	GO:0005179,GO:0005576,GO:0009416
LOC100577081	GO:0004152,GO:0005737,GO:0005743,GO:0006207,GO:0009220
LOC100577082	GO:0004144,GO:0005886,GO:0019432,GO:0047196
LOC100577091	GO:0016020,GO:0050909
LOC100577094	GO:0005615
LOC100577101	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100577110	GO:0000981,GO:0003677,GO:0006355,GO:0007417,GO:0030182
LOC100577118	GO:0007218,GO:0016020,GO:0035237
LOC100577120	GO:0000776,GO:0004674,GO:0004712,GO:0005524,GO:0005634,GO:0005819,GO:0007059,GO:0007094,GO:0018105,GO:0033316,GO:0034501
LOC100577122	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0006915
LOC100577127	GO:0005634,GO:0006364
LOC100577135	GO:0006898,GO:0008104,GO:0016324,GO:0030139
LOC100577136	GO:0005515
LOC100577138	GO:0004115,GO:0005515,GO:0007165,GO:0047555
LOC100577139	GO:0005634,GO:0010468,GO:0032783
LOC100577140	GO:0008194
LOC100577142	GO:0004930,GO:0007166,GO:0007186,GO:0016020
